Date : 2025-03-27 14:53:12
Directory : c:\Users\louis\SiteVitrineViadex
Total : 114 files,  15069 codes, 96 comments, 1047 blanks, all 16212 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\breadcrumb.tsx              | TypeScript JSX     |        105 |          0 |         11 |        116 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\button.tsx                  | TypeScript JSX     |         51 |          0 |          6 |         57 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\calendar.tsx                | TypeScript JSX     |         60 |          0 |          6 |         66 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\card.tsx                    | TypeScript JSX     |         71 |          0 |          9 |         80 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\carousel.tsx                | TypeScript JSX     |        231 |          0 |         30 |        261 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\chart.tsx                   | TypeScript JSX     |        326 |          2 |         36 |        364 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\checkbox.tsx                | TypeScript JSX     |         25 |          0 |          4 |         29 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\collapsible.tsx             | TypeScript JSX     |          5 |          0 |          5 |         10 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\command.tsx                 | TypeScript JSX     |        136 |          0 |         18 |        154 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\context-menu.tsx            | TypeScript JSX     |        181 |          0 |         18 |        199 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\dialog.tsx                  | TypeScript JSX     |        108 |          0 |         13 |        121 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\drawer.tsx                  | TypeScript JSX     |        104 |          0 |         13 |        117 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\dropdown-menu.tsx           | TypeScript JSX     |        181 |          0 |         18 |        199 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\form.tsx                    | TypeScript JSX     |        152 |          0 |         25 |        177 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\hover-card.tsx              | TypeScript JSX     |         22 |          0 |          6 |         28 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\input-otp.tsx               | TypeScript JSX     |         62 |          0 |          8 |         70 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\input.tsx                   | TypeScript JSX     |         21 |          0 |          5 |         26 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\label.tsx                   | TypeScript JSX     |         20 |          0 |          5 |         25 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\menubar.tsx                 | TypeScript JSX     |        216 |          0 |         19 |        235 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\navigation-menu.tsx         | TypeScript JSX     |        117 |          0 |         12 |        129 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\pagination.tsx              | TypeScript JSX     |        107 |          0 |         11 |        118 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\popover.tsx                 | TypeScript JSX     |         24 |          0 |          6 |         30 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\progress.tsx                | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\radio-group.tsx             | TypeScript JSX     |         38 |          0 |          5 |         43 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\resizable.tsx               | TypeScript JSX     |         38 |          0 |          6 |         44 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\scroll-area.tsx             | TypeScript JSX     |         42 |          0 |          5 |         47 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\select.tsx                  | TypeScript JSX     |        145 |          0 |         14 |        159 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\separator.tsx               | TypeScript JSX     |         26 |          0 |          4 |         30 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\sheet.tsx                   | TypeScript JSX     |        124 |          0 |         15 |        139 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\skeleton.tsx                | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\slider.tsx                  | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\sonner.tsx                  | TypeScript JSX     |         25 |          0 |          5 |         30 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\switch.tsx                  | TypeScript JSX     |         24 |          0 |          4 |         28 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\table.tsx                   | TypeScript JSX     |        107 |          0 |         11 |        118 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\tabs.tsx                    | TypeScript JSX     |         47 |          0 |          7 |         54 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\textarea.tsx                | TypeScript JSX     |         20 |          0 |          5 |         25 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\toast.tsx                   | TypeScript JSX     |        115 |          0 |         13 |        128 |
| c:\Users\louis\SiteVitrineViadex\src\components\home\ui\toaster.tsx                 | TypeScript JSX     |         31 |          0 |          3 |         34 |
