"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\menubar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 216, 0, 0, 0, 19, 235
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\navigation-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 117, 0, 0, 0, 12, 129
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 0, 11, 118
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 6, 30
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\progress.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 4, 27
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 5, 43
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\resizable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 6, 44
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 5, 47
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 0, 14, 159
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\louis\SiteVitrineViadex\src\components\home\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 0, 15, 139
